"id","query","answer"
2,Send Care market order via FIX,"self.fix_env = self.environment.get_list_fix_environment()[0]
self.fix_manager = FixManager(self.fix_env.sell_side, self.test_id)
self.nos_message = FixMessageNewOrderSingleOMS(self.data_set)
self.nos_message.set_default_care_market()
self.fix_manager.send_message_fix_standard(self.nos_message)
"
3,"Generate code for sending DMA limit order via FIX with params: ""Account"":""Client1""","self.fix_env = self.environment.get_list_fix_environment()[0]
self.fix_manager = FixManager(self.fix_env.sell_side, self.test_id)
self.nos_message = FixMessageNewOrderSingleOMS(self.data_set)
self.nos_message.set_default_dma_limit()
client = self.data_set.get_client_by_name(""client_1"")  # CLIENT1
self.nos_message.change_parameters({""Account"": client})
self.fix_manager.send_message_fix_standard(self.nos_message)
"
5,Send Care limit order via FIX,"self.fix_env = self.environment.get_list_fix_environment()[0]
self.fix_manager = FixManager(self.fix_env.sell_side, self.test_id)
self.nos_message = FixMessageNewOrderSingleOMS(self.data_set)
self.nos_message.set_default_care_limit()
self.fix_manager.send_message_fix_standard(self.nos_message)
"
7,Generate code for sending DMA market order via FIX and get order id from response,"self.fix_env = self.environment.get_list_fix_environment()[0]
self.fix_manager = FixManager(self.fix_env.sell_side, self.test_id)
self.nos_message = FixMessageNewOrderSingleOMS(self.data_set)
self.nos_message.set_default_dma_market()
self.fix_manager.send_message_and_receive_response_fix_standard(self.nos_message)
response = self.fix_manager.send_message_and_receive_response_fix_standard(self.nos_message)
order_id = response[0].get_parameter(""OrderID"")"
8,Send Care limit order via FIX4.2,"self.fix_env = self.environment.get_list_fix_environment()[0]
self.fix_manager = FixManager(self.fix_env.sell_side_fix42, self.test_id)
self.nos_message = FixMessageNewOrderSingleOMS(self.data_set)
self.nos_message.set_fix42_care_limit()
self.fix_manager.send_message(self.nos_message)
"
9,Send DMA limit order via FIX4.2 with qty=30,"self.fix_env = self.environment.get_list_fix_environment()[0]
self.fix_manager = FixManager(self.fix_env.sell_side_fix42, self.test_id)
self.nos_message = FixMessageNewOrderSingleOMS(self.data_set)
self.nos_message.set_fix42_dma_limit()
qty=""40""
self.nos_message.change_parameters({""OrderQty"":qty})
self.fix_manager.send_message(self.nos_message)
"
10,Send Care limit order via FIX4.2 and compare ClOrdID from the first execution report,"self.fix_env = self.environment.get_list_fix_environment()[0]
self.fix_manager = FixManager(self.fix_env.sell_side_fix42, self.test_id)
self.nos_message = FixMessageNewOrderSingleOMS(self.data_set)
self.nos_message.set_fix42_care_limit()
self.fix_manager.send_message_and_receive_response(self.nos_message)
exec_report = self.fix_manager.get_first_message('ExecutionReport').get_parameters()
expected_result = {""ClOrdID"": self.nos_message.get_parameter(""ClOrdID"")}
self.fix_manager.compare_values(expected_result, exec_report, 'Verify ClOrdID')
"
11,Generate code to send DMA market order via FIX and make sure exec type = 0 for last execution report,"self.fix_env = self.environment.get_list_fix_environment()[0]
self.fix_manager = FixManager(self.fix_env.sell_side, self.test_id)
self.nos_message = FixMessageNewOrderSingleOMS(self.data_set)
self.nos_message.set_default_dma_market()
self.fix_manager.send_message_and_receive_response_fix_standard(self.nos_message)
exec_report = self.fix_manager.get_last_message('ExecutionReport').get_parameters()
expected_result = {'ExecType': '0'}
self.fix_manager.compare_values(expected_result, exec_report, 'ExecType is New')"
12,Send DMA limit order via FIX and compare ClOrdeID with ClOrdeID from last execution report,"self.fix_env = self.environment.get_list_fix_environment()[0]
self.fix_manager = FixManager(self.fix_env.sell_side, self.test_id)
self.nos_message = FixMessageNewOrderSingleOMS(self.data_set)
self.nos_message.set_default_dma_limit=()
self.fix_manager.send_message_and_receive_response_fix_standard(self.nos_message)
exec_report = self.fix_manager.get_last_message('ExecutionReport').get_parameters()
cl_ord_id = self.nos_message.get_parameter(""ClOrdID"")
expected_result = {""ClOrdID"":cl_ord_id}
self.fix_manager.compare_values(expected_result, exec_report, 'Verify ClOrdID')
"
13,Generate code for sending DMA market order via FIX and get execution report from response,"self.fix_env = self.environment.get_list_fix_environment()[0]
self.fix_manager = FixManager(self.fix_env.sell_side, self.test_id)
self.nos_message = FixMessageNewOrderSingleOMS(self.data_set)
self.nos_message.set_default_dma_market()
self.fix_manager.send_message_and_receive_response_fix_standard(self.nos_message)
exec_report = self.fix_manager.get_last_message('ExecutionReport').get_parameters()
"
6,"Generate code for sending DMA market order via FIX with params: ""Qty"":""30"", ""Side"":""sell"", ""TimeInForce"":""Day""?","self.fix_env = self.environment.get_list_fix_environment()[0]
self.fix_manager = FixManager(self.fix_env.sell_side, self.test_id)
self.nos_message = FixMessageNewOrderSingleOMS(self.data_set)
self.nos_message.set_default_dma_market()
side = ""2""
qty = ""30""
tif = ""0"" # Day
self.nos_message.change_parameters({""Side"": side, ""OrderQtyData"": {""OrderQty"":qty},""TimeInForce"":tif})
self.fix_manager.send_message_fix_standard(self.nos_message)"
1,"Generate code for sending DMA limit order via FIX with params: ""Price"":""10"", ""Qty"":""40"", ""TIF"":""GTC""","self.fix_env = self.environment.get_list_fix_environment()[0]
self.fix_manager = FixManager(self.fix_env.sell_side, self.test_id)
self.nos_message = FixMessageNewOrderSingleOMS(self.data_set)
self.nos_message.set_default_dma_limit()
price=""10""
qty=""40""
tif=""1"" # Good Till Cancel
self.nos_message.change_parameters({""Price"": price, ""OrderQtyData"": {""OrderQty"":qty},""TimeInForce"": tif})
self.fix_manager.send_message_fix_standard(self.nos_message)"
14,Get execution report from response after order submitting,"self.fix_manager.send_message_and_receive_response_fix_standard(self.nos_message)
exec_report = self.fix_manager.get_last_message('ExecutionReport').get_parameters()
"
4,Generate code for sending DMA market order via FIX with params: Account = MOClient,"self.fix_env = self.environment.get_list_fix_environment()[0]
self.fix_manager = FixManager(self.fix_env.sell_side, self.test_id)
self.nos_message = FixMessageNewOrderSingleOMS(self.data_set)
self.nos_message.set_default_dma_market()
client = self.data_set.get_client_by_name(""client_pt_1"")  # MOClient
self.nos_message.change_parameters({""Account"": client})
self.fix_manager.send_message_fix_standard(self.nos_message)"
